space_url,time_period_desc_fixed,price_type,total_price,venue_url,venue_name,space_name,latitude,longitude,address,nearest_tube_station,tube_distance,max_seated,max_standing,max_seated_or_standing,min_area_per_person,area_in_m2,standing,dining,theatre,boardroom,classroom,cabaret,u_shaped,Dining_max,Theatre_max,Boardroom_max,Classroom_max,Cabaret_max,U-Shaped_max,supervenue,external_catering,in_house_kitchen,byo_alcohol,venue_provides_alcohol,alcohol_licence,extension_available,complimentary_water,complimentary_tea_and_coffee,Halal_menu,Kosher_menu,vegan_menu,gluten_free_menu,parking,Wi-Fi,Projector,Flipchart,Natural_light,Flatscreen_TV,Whiteboard,Conference_call_facilities,Air_conditioning,Storage_space,Accommodation_available,Own_music_allowed,Bring_your_own_DJ,PA_system_or_music_speakers_available,Wheelchair_accessible,Promoted_or_ticketed_events,Loud_music_or_events,Wedding_licence,Temporary_event_notices_(TENs)_available,Disabled_access_toilets,Ground_level,Lift_to_all_floors
https://www.tagvenue.com/rooms/london/3298/furniture-makers-hall/the-arnold-moore-room,Per day,min. spend,3000.0,https://www.tagvenue.com/venues/london/1232/furniture-makers-hall-1,furniture makers' hall,the arnold moore room,51.515441540794,-0.084337310836759,"12 Austin Friars, London, EC2N 2HE",Liverpool Street Station,300.0,15,20,20,1.25,25.0,True,True,True,True,False,False,False,10.0,15.0,10.0,0.0,0.0,0.0,False,No External Catering,True,BYO alcohol not allowed,True,0:00,extension not available,False,False,True,True,False,False,No Parking Available,True,False,False,True,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False
https://www.tagvenue.com/rooms/london/330/bar-pepito/pepito,Per day,min. spend,1000.0,https://www.tagvenue.com/venues/london/127/bar-pepito,bar pepito,pepito,51.530819709542,-0.12192095931709,"3 Varnishers yard, London, N1 9DF",King's Cross St. Pancras Station,200.0,25,30,30,,,True,True,True,True,True,True,True,25.0,10.0,8.0,10.0,8.0,10.0,False,No External Catering,True,BYO alcohol not allowed,True,2:00,extension available,True,False,False,False,False,False,No Parking Available,True,True,True,True,False,False,False,True,True,False,False,False,True,True,True,False,False,True,False,False,False
https://www.tagvenue.com/rooms/london/33258/flare-carnaby/private-area,Per evening,min. spend,35.0,https://www.tagvenue.com/venues/london/12459/flare-carnaby,flare carnaby,private area,51.513015868969,-0.13897960489349,"Ganton Street, 14-16, London, W1F 7BT",Oxford Circus Station,350.0,40,100,100,0.8,80.0,True,True,False,False,False,False,False,40.0,0.0,0.0,0.0,0.0,0.0,False,No External Catering,True,BYO alcohol not allowed,True,1:00,extension available,False,False,True,False,True,True,Paid Parking,True,False,False,False,True,False,False,True,False,False,False,False,False,False,True,True,False,False,False,False,False
https://www.tagvenue.com/rooms/london/333/patch-st-pauls/private-cocktail-lounge,Per evening,min. spend,500.0,https://www.tagvenue.com/venues/london/68/patch-st-paul-s,patch st paul's,private cocktail lounge,51.5133087,-0.1015979,"Cater Lane, 58-60, London, EC4V 5EA",Blackfriars Station,300.0,35,60,60,3.1,186.0,True,True,True,False,False,True,False,30.0,30.0,0.0,0.0,35.0,0.0,False,No External Catering,True,BYO alcohol not allowed,True,0:00,extension available,False,False,True,False,False,True,No Parking Available,True,False,True,True,True,False,False,True,True,False,True,False,True,True,False,False,False,False,True,False,False
https://www.tagvenue.com/rooms/london/33305/big-chill-kings-cross/space-whole-terrace,Per evening,min. spend,10000.0,https://www.tagvenue.com/venues/london/146/big-chill-kings-cross,big chill kings cross,space & whole terrace ,51.530886392033,-0.11989978220902,"257-259 Pentonville Road, King's Cross, London, N1 9NL",King's Cross St. Pancras Station,350.0,120,200,200,1.0,200.0,True,True,False,False,False,False,False,120.0,0.0,0.0,0.0,0.0,0.0,False,No External Catering,True,BYO alcohol not allowed,True,3:00,extension not available,True,False,False,False,False,False,No Parking Available,True,True,False,True,False,False,False,True,False,False,True,True,True,False,True,True,False,False,False,False,False
https://www.tagvenue.com/rooms/london/3331/alberts-at-beaufort-house/16th-birthday-party,Per evening,min. spend,500.0,https://www.tagvenue.com/venues/london/12/albert-s-at-beaufort-house,alberts at beaufort house,16th birthday party,51.484543184977,-0.17598544418024,"King's Road, 354, London, SW3 5ET",,,50,100,100,1.2,120.0,True,True,False,False,False,False,False,50.0,0.0,0.0,0.0,0.0,0.0,False,No External Catering,True,BYO alcohol not allowed,True,3:00,extension available,False,False,True,False,False,False,No Parking Available,True,True,True,True,True,True,True,True,False,False,True,False,True,False,True,True,True,True,False,False,False
https://www.tagvenue.com/rooms/london/334/patch-st-pauls/patch-basement,Per evening,min. spend,2000.0,https://www.tagvenue.com/venues/london/68/patch-st-paul-s,patch st paul's,patch basement,51.5133087,-0.1015979,"Cater Lane, 58-60, London, EC4V 5EA",Blackfriars Station,300.0,120,250,250,1.2,300.0,True,True,True,False,True,True,False,120.0,75.0,0.0,100.0,120.0,0.0,False,No External Catering,True,BYO alcohol not allowed,True,0:00,extension available,False,False,True,False,False,True,No Parking Available,True,False,True,False,True,False,False,True,True,False,True,True,True,True,False,False,False,False,True,False,False
https://www.tagvenue.com/rooms/london/3342/patch-st-pauls/engagement-party,Per evening,min. spend,2000.0,https://www.tagvenue.com/venues/london/68/patch-st-paul-s,patch st paul's,engagement party,51.5133087,-0.1015979,"Cater Lane, 58-60, London, EC4V 5EA",Blackfriars Station,300.0,0,250,250,1.2,300.0,True,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,False,No External Catering,True,BYO alcohol not allowed,True,0:00,extension available,False,False,True,False,False,True,No Parking Available,True,False,False,False,True,False,False,True,True,False,True,True,True,True,False,False,False,True,True,False,False
https://www.tagvenue.com/rooms/london/335/patch-east/whole-venue,Per evening,min. spend,2000.0,https://www.tagvenue.com/venues/london/151/patch-east,patch east,whole venue,51.513433,-0.0783026,"80-84 Leadenhall Street, London, EC3A 3DH",Aldgate Station,250.0,100,175,175,1.1657142857142857,204.0,True,True,True,False,False,True,False,80.0,75.0,0.0,0.0,100.0,0.0,False,External Catering From Approved List,True,BYO alcohol not allowed,True,2:00,extension not available,False,False,True,True,True,True,No Parking Available,True,True,True,False,True,True,False,True,True,False,True,True,True,True,False,False,False,False,True,False,True
https://www.tagvenue.com/rooms/london/33625/evans-peel-detective-agency/entire-venue,Per evening,min. spend,3000.0,https://www.tagvenue.com/venues/london/15898/evans-peel-detective-agency,evans & peel detective agency,entire venue,51.490211883269,-0.19078834536895,"Earls Court Road, 310c, London, SW5 9BA",Earl's Court Station,300.0,60,100,100,1.2,120.0,True,True,False,False,False,False,False,60.0,0.0,0.0,0.0,0.0,0.0,False,External Catering From Approved List,True,BYO alcohol not allowed,True,0:00,extension not available,False,False,False,False,False,False,Paid Parking,True,False,False,False,False,False,False,True,False,False,True,True,True,False,False,False,False,False,False,False,False
