space_url,time_period_desc_fixed,price_type,total_price,venue_url,venue_name,space_name,latitude,longitude,address,nearest_tube_station,tube_distance,max_seated,max_standing,max_seated_or_standing,min_area_per_person,area_in_m2,standing,dining,theatre,boardroom,classroom,cabaret,u_shaped,Dining_max,Theatre_max,Boardroom_max,Classroom_max,Cabaret_max,U-Shaped_max,supervenue,external_catering,in_house_kitchen,byo_alcohol,venue_provides_alcohol,alcohol_licence,extension_available,complimentary_water,complimentary_tea_and_coffee,Halal_menu,Kosher_menu,vegan_menu,gluten_free_menu,parking,Wi-Fi,Projector,Flipchart,Natural_light,Flatscreen_TV,Whiteboard,Conference_call_facilities,Air_conditioning,Storage_space,Accommodation_available,Own_music_allowed,Bring_your_own_DJ,PA_system_or_music_speakers_available,Wheelchair_accessible,Promoted_or_ticketed_events,Loud_music_or_events,Wedding_licence,Temporary_event_notices_(TENs)_available,Disabled_access_toilets,Ground_level,Lift_to_all_floors
https://www.tagvenue.com/rooms/richmond/10244/kew-gardens/classic-wedding-package,Per day,hire fee,11400.0,https://www.tagvenue.com/venues/richmond/329/kew-gardens,kew gardens,classic wedding package,51.483708028543,-0.28890609741211,"Kew Green, 37, Richmond, TW9 3AA",Kew Gardens Station,900.0,200,0,200,1.445,289.0,False,True,False,False,False,False,False,200.0,0.0,0.0,0.0,0.0,0.0,False,External Catering From Approved List,False,No Corkage fee,True,0:00,extension available,False,False,True,True,True,True,Paid and/or Free Parking,True,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,True,True,False,False,False
https://www.tagvenue.com/rooms/richmond/10364/kew-gardens/orangery-conference-room,Per day,hire fee,900.0,https://www.tagvenue.com/venues/richmond/329/kew-gardens,kew gardens,orangery conference room,51.483708028543,-0.28890609741211,"Kew Green, 37, Richmond, TW9 3AA",Kew Gardens Station,900.0,30,0,30,2.433333333333333,73.0,False,False,False,True,True,False,False,0.0,0.0,24.0,30.0,0.0,0.0,False,External Catering From Approved List,False,No Corkage fee,True,0:00,extension available,False,False,True,True,True,True,Paid and/or Free Parking,True,True,True,True,False,False,False,True,False,False,True,False,False,True,False,False,False,False,True,True,False
https://www.tagvenue.com/rooms/richmond/28674/kew-gardens/princess-of-wales-conservatory,Per day,hire fee,3600.0,https://www.tagvenue.com/venues/richmond/329/kew-gardens,kew gardens,princess of wales conservatory,51.483708028543,-0.28890609741211,"Kew Green, 37, Richmond, TW9 3AA",Kew Gardens Station,900.0,0,200,200,0.54,108.0,True,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,False,External Catering From Approved List,False,No Corkage fee,True,0:00,extension available,False,False,True,True,True,True,Paid and/or Free Parking,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False
https://www.tagvenue.com/rooms/south-croydon/39774/in-the-nook-records/main-studio,Per day,hire fee,200.0,https://www.tagvenue.com/venues/south-croydon/18978/in-the-nook-records,in the nook records,main studio,51.348070090151,-0.099980350891495,"20 Grange Road, South Croydon, CR2 0NA",,,0,10,10,3.0,30.0,True,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,False,Any External Caterer - no fee - kitchen for guests,False,BYO alcohol not allowed,False,alcohol not available,alcohol not available,True,True,venue doesnt provide catering,venue doesnt provide catering,venue doesnt provide catering,venue doesnt provide catering,Paid and/or Free Parking,True,False,False,True,False,False,False,True,True,False,True,True,True,True,False,False,False,False,False,True,False
https://www.tagvenue.com/rooms/surrey/1326/sandown-park-racecourse/gold-cup-suite,Per day,hire fee,900.0,https://www.tagvenue.com/venues/surrey/518/sandown-park-racecourse,sandown park racecourse,gold cup suite ,51.372826215522,-0.36029309531261,"Portsmouth Road, Esher, Surrey, KT10 9AJ",,,420,420,420,1.4047619047619049,590.0,True,True,True,True,True,True,True,360.0,420.0,100.0,200.0,304.0,80.0,False,External Catering From Approved List,True,No Corkage fee,True,23:00,extension available,True,False,True,False,True,True,Free Parking,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,False,False,False,False
https://www.tagvenue.com/rooms/surrey/1875/sandown-park-racecourse/surrey-hall,Per day,hire fee,11280.0,https://www.tagvenue.com/venues/surrey/518/sandown-park-racecourse,sandown park racecourse,surrey hall,51.372826215522,-0.36029309531261,"Portsmouth Road, Esher, Surrey, KT10 9AJ",,,800,1500,1500,1.8266666666666669,2740.0,True,False,True,False,True,True,False,0.0,800.0,0.0,500.0,504.0,0.0,False,External Catering From Approved List,True,No Corkage fee,True,23:00,extension available,True,False,True,False,True,True,Free Parking,True,True,True,False,True,True,True,True,True,True,True,False,True,True,True,True,False,False,False,False,False
https://www.tagvenue.com/rooms/surrey/1876/sandown-park-racecourse/solario-suite,Per day,hire fee,600.0,https://www.tagvenue.com/venues/surrey/518/sandown-park-racecourse,sandown park racecourse,solario suite,51.372826215522,-0.36029309531261,"Portsmouth Road, Esher, Surrey, KT10 9AJ",,,240,200,240,1.15,276.0,True,True,True,True,True,True,True,160.0,240.0,60.0,100.0,144.0,50.0,False,External Catering From Approved List,True,No Corkage fee,True,23:00,extension available,True,False,True,False,True,True,Free Parking,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,False,False,False,False
https://www.tagvenue.com/rooms/surrey/1879/sandown-park-racecourse/equus,Per day,hire fee,1200.0,https://www.tagvenue.com/venues/surrey/518/sandown-park-racecourse,sandown park racecourse,equus,51.372826215522,-0.36029309531261,"Portsmouth Road, Esher, Surrey, KT10 9AJ",,,350,400,400,1.125,450.0,True,True,True,True,True,True,True,230.0,350.0,100.0,200.0,180.0,50.0,False,External Catering From Approved List,True,No Corkage fee,True,23:00,extension available,True,False,True,False,True,True,Free Parking,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,False,False,False,False
https://www.tagvenue.com/rooms/surrey/1880/sandown-park-racecourse/park-view,Per day,hire fee,900.0,https://www.tagvenue.com/venues/surrey/518/sandown-park-racecourse,sandown park racecourse,park view,51.372826215522,-0.36029309531261,"Portsmouth Road, Esher, Surrey, KT10 9AJ",,,180,180,180,1.2,216.0,True,True,True,True,True,True,True,130.0,180.0,50.0,80.0,104.0,50.0,False,External Catering From Approved List,True,No Corkage fee,True,23:00,extension available,True,False,True,False,True,True,Free Parking,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,False,False,False,False
https://www.tagvenue.com/rooms/surrey/1882/sandown-park-racecourse/the-royal-box,Per day,hire fee,750.0,https://www.tagvenue.com/venues/surrey/518/sandown-park-racecourse,sandown park racecourse,the royal box,51.372826215522,-0.36029309531261,"Portsmouth Road, Esher, Surrey, KT10 9AJ",,,60,60,60,1.8333333333333333,110.0,True,True,True,True,True,True,True,40.0,60.0,18.0,20.0,40.0,15.0,False,External Catering From Approved List,True,No Corkage fee,True,23:00,extension available,True,False,True,False,True,True,Free Parking,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,False,False,False,False
