space_url,venue_url,venue_name,space_name,latitude,longitude,address,nearest_tube_station,max_seated,max_standing,area_in_m2,catering_offered,external_catering_allowed,supervenue,Standing_max,Dining_max,Theatre_max,Boardroom_max,Classroom_max,Cabaret_max,U-Shaped_max,Approved caterers only,BYO alcohol allowed,BYO alcohol not allowed,External catering allowed,External catering not allowed,In-house catering,No in-house catering,Venue doesn’t provide alcohol,Venue provides alcohol,Alcohol licence until 23:00,Corkage fee for BYO alcohol,Buyout fee for external catering,Kitchen facilities available for guests,Complimentary water,Complimentary tea and coffee,Alcohol licence until 23:00 (extension available),Halal menu,Kosher menu,Extensive vegan menu,Extensive gluten-free menu,Alcohol licence until 1:30,Alcohol licence until 1:00,Alcohol licence until 0:00,Alcohol licence until 1:00 (extension available),Alcohol licence until 5:00 (extension available),Alcohol licence until 3:00 (extension available),Alcohol licence until 0:00 (extension available),Alcohol licence until 2:00 (extension available),Alcohol licence until 22:30,Alcohol licence until 22:00,Alcohol licence until 2:00,Alcohol licence until 22:30 (extension available),Alcohol licence until 3:00,Alcohol licence until 0:30 (extension available),Alcohol licence until 4:00,Alcohol licence until 23:30,Alcohol licence until 23:30 (extension available),Alcohol licence until 21:30,Alcohol licence until 4:00 (extension available),Alcohol licence until 2:30,Alcohol licence until 0:30,Alcohol licence until 22:00 (extension available),Alcohol licence until 5:00,Alcohol licence until 21:00 (extension available),Alcohol licence until 2:30 (extension available),Alcohol licence until 21:00,Alcohol licence until 1:30 (extension available),Wi-Fi,Projector,Flipchart,Natural light,Flatscreen TV,Whiteboard,Conference call facilities,Air conditioning,Storage space,Accommodation available,Parking available,Own music allowed,Bring your own DJ,PA system / music speakers available,Wheelchair accessible,Promoted / ticketed events,Loud music / events,Wedding licence,Temporary event notices (TENs) available,Paid parking facilities available nearby,Disabled access toilets,Ground level,Lift to all floors,Free parking is available on-site
https://www.tagvenue.com/rooms/london/24886/missionworks/tabor-iffley,https://www.tagvenue.com/venues/london/11649/missionworks,missionworks,tabor & iffley,51.498045026417,-0.23026115841674,"Iffley Road, 41, London, W6 0PB",Goldhawk Road Station (550 yd),12,0,17,Venue doesn’t offer catering,External catering allowed,False,,,,12.0,,,,0,0,1,1,0,0,1,1,0,,,False,False,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,False,False,True,True,True,False,False,True,False,False,True,False,False,True,True,False,False,False,,True,True,,
https://www.tagvenue.com/rooms/london/24304/the-bloomsbury/george-v-hall,https://www.tagvenue.com/venues/london/11369/the-bloomsbury,the bloomsbury,george v hall,51.5171136,-0.128892,"16-22 Great Russell Street, London, WC1B 3NN",Tottenham Court Road Station (200 yd),300,320,266,Venue offers catering,External catering not allowed,False,320.0,200.0,300.0,60.0,160.0,160.0,70.0,0,0,1,0,1,1,0,0,1,,,,,0.0,0.0,,False,False,True,True,,,,True,,,,,,,,,,,,,,,,,,,,,,,,True,True,True,True,True,True,True,True,False,True,,True,True,True,True,False,False,False,False,True,True,True,True,
https://www.tagvenue.com/rooms/london/18614/iberica-victoria/the-bar,https://www.tagvenue.com/venues/london/7924/iberica-victoria,ibérica victoria,the bar,51.4972314,-0.1383813,"Victoria Street, 68, London, SW1E 6SQ",St. James's Park Station (450 yd),40,50,40,Venue offers catering,External catering not allowed,True,50.0,40.0,,,,,,0,1,0,0,1,1,0,0,1,,False,,,1.0,0.0,,False,False,False,True,,,,,,,,,,,,,,,,,True,,,,,,,,,,,True,True,False,True,True,False,False,True,False,False,False,True,True,True,True,False,True,False,True,,,,True,
https://www.tagvenue.com/rooms/london/39785/charlies/charlies,https://www.tagvenue.com/venues/london/18982/charlie-s,charlie's,charlie’s,51.5274214,-0.0737926,"Virginia Road, 59, London, E2 7NF",Old Street Station (1100 yd),36,50,45,Venue doesn’t offer catering,External catering allowed,False,50.0,36.0,,,,,,0,0,1,1,0,0,1,0,1,,,False,False,0.0,0.0,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,True,True,False,False,False,False,False,False,False,False,,True,True,True,False,False,False,False,False,True,,,,
https://www.tagvenue.com/rooms/london/2374/aeronaut/festival-garden,https://www.tagvenue.com/venues/london/886/aeronaut,aeronaut,festival garden,51.508475105965,-0.27519173240205,"264 ACTON HIGH ST, London, W3 9BH",Acton Town Station (800 yd),150,200,100,Venue offers catering,External catering not allowed,False,200.0,150.0,,,,,,1,0,1,0,1,1,0,0,1,,,,,1.0,0.0,,True,False,True,True,,,,True,,,,,,,,,,,,,,,,,,,,,,,,True,True,False,True,True,False,False,True,False,False,False,True,False,True,True,True,True,False,False,,,,,
https://www.tagvenue.com/rooms/london/37958/yoga-west/studio-space,https://www.tagvenue.com/venues/london/17974/yoga-west,yoga west,studio space,51.5046048,-0.2557732,"Warple Way, 33-34, London, W3 0RG",Acton Central Station (650 yd),0,25,100,Venue doesn’t offer catering,External catering not allowed,False,25.0,,,,,,,0,0,1,0,1,0,1,1,0,,,,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,False,False,True,False,True,False,False,False,False,,True,True,True,True,False,False,False,False,True,,,True,
https://www.tagvenue.com/rooms/london/3800/lighthouse-venue/lighthouse-main-hall,https://www.tagvenue.com/venues/london/1428/lighthouse-venue,lighthouse venue,lighthouse main hall,51.4767333,-0.0942317,"254-270 Camberwell road, Camberwell, London, se5 0dp",,1200,1200,705,Venue offers catering,External catering allowed,False,1200.0,500.0,1200.0,,800.0,450.0,,0,0,1,1,0,1,0,1,0,,,False,True,1.0,0.0,,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,True,False,True,True,True,True,True,False,,True,False,True,True,True,False,False,True,,True,,,True
https://www.tagvenue.com/rooms/london/396/hallam-conference-centre/hallam-cafe,https://www.tagvenue.com/venues/london/178/hallam-conference-centre,hallam conference centre,hallam cafe,51.5206788,-0.1434968,"44 Hallam Street, London, W1W 6JJ",Great Portland Street Station (400 yd),200,200,85,Venue offers catering,External catering not allowed,False,200.0,132.0,200.0,55.0,70.0,110.0,45.0,0,0,1,0,1,1,0,1,0,,,,,1.0,1.0,,True,True,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,,,,,
https://www.tagvenue.com/rooms/london/957/barrio-shoreditch/full-venue-hire,https://www.tagvenue.com/venues/london/269/barrio-shoreditch,barrio shoreditch,full venue hire ,51.525996398865,-0.078228153967302,"141-143 Shoreditch High Street, London , E1 6JE",Old Street Station (750 yd),170,360,520,Venue offers catering,External catering not allowed,False,360.0,170.0,,,,,,0,0,1,0,1,1,0,0,1,,,,,1.0,0.0,,False,False,False,True,,,,,,,,True,,,,,,,,,,,,,,,,,,,,True,True,False,True,True,False,False,True,True,False,False,True,False,False,True,False,True,False,True,,,,,
https://www.tagvenue.com/rooms/london/6003/good-hotel-london/living-room,https://www.tagvenue.com/venues/london/2842/good-hotel-london,good hotel london,living room,51.507978174694,0.018973797097715,"Western Gateway, London, E16 1FA",Royal Victoria Station (150 yd),70,120,80,Venue offers catering,External catering not allowed,False,120.0,70.0,,,,,,1,0,1,0,1,1,0,0,1,,,,,1.0,1.0,True,True,False,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,True,True,True,True,False,True,True,True,,True,False,True,True,False,False,False,False,True,,,True,True
