url,venue_name,space_name,latitude,longitude,address,nearest_tube_station,max_seated,max_standing,area_in_m2,catering_offered,external_catering_allowed,supervenue,Boardroom_max,Standing_max,Dining_max,Theatre_max,Cabaret_max,U-Shaped_max,Classroom_max,Approved caterers only,BYO alcohol allowed,BYO alcohol not allowed,External catering allowed,External catering not allowed,In-house catering,No in-house catering,Venue doesn’t provide alcohol,Venue provides alcohol,Buyout fee for external catering,Kitchen facilities available for guests,Complimentary water,Complimentary tea and coffee,Alcohol licence until 03:00 (extension available),Halal menu,Kosher menu,Extensive vegan menu,Extensive gluten-free menu,Alcohol licence until 23:00,Alcohol licence until 23:00 (extension available),Corkage fee for BYO alcohol,Alcohol licence until 01:00 (extension available),Alcohol licence until 00:00 (extension available),Alcohol licence until 04:00,Alcohol licence until 01:00,Alcohol licence until 00:00,Alcohol licence until 02:00 (extension available),Alcohol licence until 03:00,Alcohol licence until 21:30,Alcohol licence until 22:30 (extension available),Alcohol licence until 00:30,Alcohol licence until 02:00,Alcohol licence until 23:30 (extension available),Alcohol licence until 05:00 (extension available),Alcohol licence until 23:30,Alcohol licence until 04:00 (extension available),Alcohol licence until 00:30 (extension available),Alcohol licence until 22:30,Alcohol licence until 05:00,Alcohol licence until 01:30,Alcohol licence until 21:00 (extension available),Alcohol licence until 22:00,Alcohol licence until 22:00 (extension available),Alcohol licence until 02:30,Alcohol licence until 02:30 (extension available),Alcohol licence until 21:00,Wi-Fi,Flatscreen TV,Whiteboard,Natural light,Projector,Flipchart,Conference call facilities,Air conditioning,Storage space,Accommodation available,Parking available,Own music allowed,Bring your own DJ,PA system / music speakers available,Lift to all floors,Wheelchair accessible,Promoted / ticketed events,Loud music / events,Wedding licence,Temporary event notices (TENs) available,Free parking is available on-site,Paid parking facilities available nearby,Disabled access toilets
https://www.tagvenue.com/rooms/london/24342/fortnum-mason/the-wine-bar,fortnum & mason,the wine bar,51.508060928247,-0.13832114028931,"Piccadilly, 181, London, W1J 9AN",Green Park Station (400 yd),0,100,77,Venue offers catering,External catering not allowed,False,,100.0,,,,,,0,0,1,0,1,1,0,0,1,,,0.0,0.0,,False,False,False,False,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,True,True,False,False,False,True,False,False,False,False,,True,True,True,True,True,True,True,False,False,,True,
https://www.tagvenue.com/rooms/london/27588/pitch-golf/the-clubhouse,pitch golf,the clubhouse,51.515273552308,-0.082429868786624,"Pitch Golf London, 62 Bishopgate, London, EC2N 4AW",Liverpool Street Station (300 yd),50,90,372,Venue offers catering,External catering allowed,False,,90.0,,,50.0,,,0,0,1,1,0,1,0,0,1,True,False,0.0,0.0,,False,False,True,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,False,True,True,False,False,True,False,False,False,True,True,True,,False,True,True,False,False,,,
https://www.tagvenue.com/rooms/london/6263/lucky-voice-islington/kids-parties,lucky voice islington,kids parties,51.5413637,-0.1031561,"173-174 Upper Street, Islington, London, N1 1RG",Highbury & Islington Station (600 yd),0,15,17,Venue offers catering,External catering not allowed,False,,15.0,,,,,,1,0,1,0,1,1,0,0,1,,,1.0,0.0,,False,False,False,False,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,True,True,False,False,False,False,False,True,True,False,False,True,False,True,,True,True,True,False,False,,,
https://www.tagvenue.com/rooms/london/22180/m-victoria/la-plume-room,m victoria,la plume room,51.4972314,-0.1383813,"Victoria Street, 74, London, SW1E 6SQ",St. James's Park Station (450 yd),25,20,30,Venue offers catering,External catering not allowed,False,,20.0,25.0,,,,,0,0,1,0,1,1,0,0,1,,,1.0,0.0,,True,False,True,True,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,True,True,False,False,False,True,False,True,False,False,False,True,True,True,True,True,False,False,True,False,,,True
https://www.tagvenue.com/rooms/london/10469/tonight-josephine-waterloo/whole-venue,tonight josephine waterloo,whole venue,51.50276897532,-0.11039972305298,"Waterloo Road, 111, London, SE1 8SG",Waterloo Station (300 yd),250,400,300,Venue offers catering,External catering not allowed,False,,400.0,250.0,,,,,0,0,1,0,1,1,0,0,1,,,1.0,0.0,,False,False,True,True,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,True,True,False,False,True,False,False,True,False,False,False,True,False,True,,False,False,False,False,True,,,
https://www.tagvenue.com/rooms/london/4494/bma-house/princes-room,bma house,prince's room,51.525795322006,-0.12893908783576,"BMA House,  Tavistock Square , London , WC1H 9JP",Euston Station (500 yd),70,90,110,Venue offers catering,External catering allowed,False,35.0,90.0,54.0,70.0,42.0,30.0,30.0,0,0,1,1,0,1,0,0,1,True,False,0.0,0.0,,False,False,True,False,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,True,True,True,True,True,True,False,False,False,False,False,True,,True,False,False,True,True,,,
https://www.tagvenue.com/rooms/london/7426/san-mei-gallery/whole-venue,san mei gallery,whole venue,51.470951748607,-0.10845243930817,"Loughborough Road, 39a, London, SW9 7TB",,35,50,100,Venue offers catering,External catering not allowed,False,20.0,50.0,25.0,35.0,,,35.0,1,1,0,0,1,1,0,0,1,,,1.0,0.0,,False,False,False,False,True,,False,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,False,True,True,True,False,False,False,False,False,False,False,True,,True,False,False,False,False,,,
https://www.tagvenue.com/rooms/london/26583/electric-space/whole-venue,electric space,whole venue ,51.5169675,-0.1333142,"Rathbone Place, 11, London, W1T 1HR",Tottenham Court Road Station (250 yd),0,170,345,Venue offers catering,External catering not allowed,False,,170.0,,,,,,1,0,1,0,1,0,1,0,1,,,1.0,0.0,,True,True,True,True,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,True,False,False,True,True,False,False,True,False,False,,True,True,True,,False,True,False,False,False,,True,
https://www.tagvenue.com/rooms/london/5360/impact-brixton/the-gallery,impact brixton,the gallery,51.461610586289,-0.11441973809815,"Electric Lane, 17a, London, SW9 8LA",Brixton Station (150 yd),8,10,18,Venue doesn’t offer catering,External catering allowed,False,8.0,10.0,8.0,8.0,,8.0,8.0,0,1,0,1,0,0,1,1,0,False,False,1.0,1.0,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,True,False,True,False,True,True,False,True,False,False,False,True,False,True,,False,True,True,False,False,,,True
https://www.tagvenue.com/rooms/london/22087/huckletree-soho/bruno,huckletree soho,bruno,51.512957,-0.1354537,"Ingestre Place, London, W1F 0JL",Piccadilly Circus Station (400 yd),4,0,10,Venue offers catering,External catering not allowed,False,4.0,,,,,,,1,0,1,0,1,0,1,1,0,,,1.0,1.0,,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,True,False,False,False,True,True,False,False,,False,False,False,,False,False,False,False,False,,True,
https://www.tagvenue.com/rooms/london/640/oxford-house/historic-chapel,oxford house,historic chapel,51.526495699708,-0.06130743068843,"Derbyshire Street, Bethnal Green, London, E2 6HG",Bethnal Green Station (500 yd),40,40,40,Venue offers catering,External catering allowed,False,,40.0,,40.0,12.0,,,0,1,0,1,0,1,0,0,1,False,False,0.0,0.0,,True,True,True,False,,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,True,False,False,True,False,False,False,False,False,False,False,False,False,True,,True,True,False,False,False,,,
https://www.tagvenue.com/rooms/london/13639/indian-accent/private-dining-space,indian accent,private dining space,51.509254959897,-0.14207661151886,"Albemarle Street, 16, London, W1S4HW",Green Park Station (300 yd),18,0,193,Venue offers catering,External catering allowed,False,,,18.0,,,,,0,0,1,1,0,1,0,0,1,True,False,0.0,0.0,,True,False,True,True,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,False,False,,,
https://www.tagvenue.com/rooms/london/1016/hush-mayfair/blades,hush mayfair,blades,51.512753615938,-0.14583727672118,"8 Lancashire Court, Brook Street, London, W1S 1EY",Bond Street Station (300 yd),40,50,100,Venue offers catering,External catering not allowed,False,,50.0,40.0,,,,,0,1,0,0,1,1,0,0,1,,,0.0,0.0,,True,True,False,True,,,False,,,,,True,,,,,,,,,,,,,,,,,,,,,True,True,False,True,False,False,False,True,False,False,False,False,False,False,,True,False,False,False,False,,,
https://www.tagvenue.com/rooms/london/5063/cocoon-global/cocoon-conference-meeting-room,cocoon global,cocoon conference meeting room,51.5210943,-0.0841596,"Christopher street, 4, London, EC2A 2BS",Liverpool Street Station (500 yd),8,8,15,Venue offers catering,External catering not allowed,False,8.0,8.0,,,,,,1,1,0,0,1,0,1,1,0,,,0.0,1.0,,False,False,True,True,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,True,True,False,True,True,False,False,False,False,True,False,True,,False,True,True,False,True,,,
